Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2015,1,103,Zarema,.8386119902133942,12.30597999691963,.4052352,0,.4052352,14.674224,.3398350900970399
2011,1,103,Felege Weyini,2.882923006080091,96.57803028076887,.18841766,.036928806,.041670971,33.500038,.6496564992703497
2012,1,103,Felege Weyini,1.68805898912251,28.69797001779079,.22573473,0,0,17.000572,.4180475370958448
2013,1,103,Felege Weyini,2.511144003365189,49.71273984014988,.12323511,.0060734269,0,19.79685,.3247123502660543
2014,1,103,Felege Weyini,2.319582998054102,50.80411982536316,0,.14606303,0,21.902264,.3388053113594651
2015,1,103,Felege Weyini,2.023149004206061,26.27077987790108,.32797003,0,.19599102,12.985094,.6635322354268283
2011,1,103,Barika  Adis,2.222410993650556,80.67350977659226,.080686808,0,0,36.299995,.2160457547288388
2012,1,103,Barika  Adis,3.16823699651286,28.14887997880578,.16021073,.015508546,0,8.8847141,.8142367338296026
2013,1,103,Barika  Adis,1.785953010199592,55.26953032612801,.062651925,.021472123,0,30.9468,.1502416001167148
2014,1,103,Barika  Adis,2.052104020491242,61.77797043323517,.087641515,0,0,30.104698,.1798495035618544
2015,1,103,Barika  Adis,2.227260012179613,71.48010033369064,.044626374,0,.044626374,32.093288,.0993945393711329
2011,1,103,Hayelom,5.915040984284133,132.4968995004892,.20211989,.12362662,0,22.399998,1.980216415598989
2012,1,103,Hayelom,2.700805975589901,83.06272025406361,.028895264,0,0,30.754789,.0780405029654503
2013,1,103,Hayelom,4.207637974061072,65.42566956579685,.60332006,0,0,15.549263,2.538552413694561
2014,1,103,Hayelom,3.853604964911938,111.3039010763168,.013914634,0,0,28.883059,.0536215007305145
2015,1,103,Hayelom,6.811832044273615,237.3112899065018,.17809692,0,.17809692,34.8381,1.213166322559118
2011,1,104,Mariam Moko,4.115573976188898,30.45525996387005,.10614379,.01420124,0,7.400003,.591991925612092
2012,1,104,Mariam Moko,3.164619996212423,31.13227972388268,.14465429,.00061730004,0,9.8376045,.752652513096109
2013,1,104,Mariam Moko,4.963811976835132,106.5694302618504,.039631326,.14579964,0,21.469273,1.092289033811539
2014,1,104,Mariam Moko,1.719802990555763,32.39766001701355,0,0,0,18.838007,.0575814992189407
2015,1,104,Mariam Moko,2.839866984635592,24.78400993347168,.77311122,0,.77311122,8.7271729,2.195533087477088
2011,1,104,Chliesret,0,0,,,,,0
2012,1,104,Chliesret,0,0,,,,,0
2013,1,104,Chliesret,0,0,,,,,0
2014,1,104,Chliesret,0,0,,,,,0
2015,1,104,Chliesret,0,0,,,,,0
2011,1,104,Adi Kaila,8.238236054778099,101.3302803337574,.02493201,.016772812,0,12.299997,.4615711811929941
2012,1,104,Adi Kaila,5.936497054062784,98.55147981643677,0,0,0,16.600948,0
2013,1,104,Adi Kaila,6.165724977850914,83.46718959137797,.017177956,.0082650464,0,13.537287,.1568745598196983
2014,1,104,Adi Kaila,10.95657297596335,77.26197941601276,.069601953,.0093214242,0,7.0516558,1.061221928335726
2015,1,104,Adi Kaila,9.563435055315495,120.315089315176,.27002621,0,.27002621,12.58074,2.582378002814949
2011,1,104,Metkelili Meiat,0,0,,,,,0
2012,1,104,Metkelili Meiat,.067051999270916,.3957799971103668,0,0,0,5.9025831,0
2013,1,104,Metkelili Meiat,.0373780000954866,.2055699974298477,0,0,0,5.4997592,0
2014,1,104,Metkelili Meiat,0,0,,,,,0
2015,1,104,Metkelili Meiat,0,0,,,,,0
2011,1,104,Mahibere Genet,7.488475047051907,155.0114486813545,.22268066,.064439647,0,20.700003,2.15009325905703
2012,1,104,Mahibere Genet,8.142549024662003,100.1289098709822,.028823378,.01640334,0,12.296998,.7107998029096052
2013,1,104,Mahibere Genet,5.508054027333856,107.7683792710304,0,0,0,19.565599,0
2014,1,104,Mahibere Genet,2.282669996842742,62.31688070297241,.054888792,.13415869,0,27.299995,.4987960075959563
2015,1,104,Mahibere Genet,8.826264970004559,56.02062010020018,.84141946,0,.84141946,6.3470359,7.426591132767499
2011,1,104,Masobo,9.810304032638669,360.0381899476051,.19808383,0,0,36.700005,2.377918302547187
2012,1,104,Masobo,12.83427102165297,460.8432334214449,.020796234,.052120514,0,35.907238,1.223466288414784
2013,1,104,Masobo,10.72432197630405,57.8444294333458,.39023578,0,0,5.3937612,4.185014266520739
2014,1,104,Masobo,13.34935787320137,201.7181680202484,.0056282706,0,0,15.110702,.0751338005065918
2015,1,104,Masobo,6.244937017560005,55.91627925634384,.91102648,0,.91102648,8.9538584,5.689303085207939
2011,1,104,Hebite,7.078819021582604,213.0724604129791,0,0,0,30.1,0
2012,1,104,Hebite,6.687801958993077,217.1133588552475,0,.052028529,0,32.464085,.3479564934968948
2013,1,104,Hebite,4.516446966677904,81.67977000772953,.066728219,0,0,18.084961,.3013744712807238
2014,1,104,Hebite,4.553253002464771,91.73709058761597,0,.06989716,0,20.147593,.3182594515383244
2015,1,104,Hebite,8.69736098870635,62.10284948348999,.32792073,0,.31922242,7.1404247,2.852045001462102
2011,1,104,Mayi Genete,10.26502195553621,301.7916926238686,.085541442,.1938535,0,29.400005,2.867995143940789
2012,1,104,Mayi Genete,6.769538059830666,178.9767582416534,.12316694,.0064347568,0,26.438549,1.391302393749356
2013,1,104,Mayi Genete,7.016217903699726,74.94556078314781,.060562171,0,0,10.681761,.42491739889374
2014,1,104,Mayi Genete,6.764117037411779,77.67997041344643,0,0,0,11.484126,0
2015,1,104,Mayi Genete,6.514506988227367,74.57378008961678,1,0,1,11.447341,6.514506988227367
2011,1,104,Metekel,9.2785739377141,65.87789930403233,.42831171,0,0,7.1000028,3.974121822044253
2012,1,104,Metekel,8.350597040727735,125.2784599065781,.011209797,0,0,15.002336,.0936084985733032
2013,1,104,Metekel,9.472160045523197,78.13851014152169,.093284421,.037028786,0,8.2492809,1.234347506426275
2014,1,104,Metekel,6.023932982701808,62.50436054170132,.040344976,0,0,10.376005,.2430354319512844
2015,1,104,Metekel,6.887640004046261,87.43227975070477,.46579748,0,.45614618,12.694084,3.208245375193656
2011,1,104,Hintalo,1.610494988504797,23.35218952596188,.0013797,0,0,14.500008,.0022219999227673
2012,1,104,Hintalo,4.919494956731796,44.16142025589943,.03052295,.035076316,0,8.97682,.3227152545005083
2013,1,104,Hintalo,4.582814995199442,153.1584197282791,0,0,0,33.420162,0
2014,1,104,Hintalo,7.696916068904102,100.7982902377844,.020465275,0,0,13.095932,.1575195044279099
2015,1,104,Hintalo,8.230597028508782,118.4727005362511,.22484766,.074125245,.026193786,14.39418,2.645352587103844
2011,1,104,Fikire Alem,5.737092968076468,107.8573607504368,0,0,0,18.800003,0
2012,1,104,Fikire Alem,8.412349086254835,142.7563699483872,.071561687,0,0,16.969858,.7162905000150204
2013,1,104,Fikire Alem,6.674757961183786,38.11980986595154,.11015422,0,0,5.71104,.7352527612820268
2014,1,104,Fikire Alem,4.531157020479441,89.00961965322495,.021766735,.059798855,0,19.643906,.5534019954502583
2015,1,104,Fikire Alem,3.85943101067096,160.0986309051514,.66216242,0,.66216242,41.482445,2.555570287862793
2011,1,104,Sebebera,3.913158005103469,50.08845004439354,.22368269,0,0,12.800007,.8753056917339563
2012,1,104,Sebebera,5.709155951160938,17.55143003258854,.85820806,0,0,3.07426,4.899643629789352
