"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2015",7,"ZABA",0.308622998185456,2.55448000133038,0.124633774161339,0,8.277024269104
"Wolayita",706,"Kindo Koyisha",70606,"01-01-2013",7,"Zeleto",0.119741998612881,1.92785000801086,0,0,16.1000328063965
"Wolayita",706,"Kindo Koyisha",70606,"01-01-2012",7,"Mino Waraza",0.00151299999561161,0.023530000820756,0.25,0,15.5518846511841
"Gamo Gofa",710,"KEMBA",71012,"01-01-2010",7,"BOLA ANIKO",0.0759819969534874,1.42850005626678,0.100000001490116,0,18.8005065917969
"Gamo Gofa",710,"KEMBA",71012,"01-01-2011",7,"BOLA ANIKO",0.175691001117229,2.79348005354404,0.260702043771744,0,15.8999605178833
"Gamo Gofa",710,"KEMBA",71012,"01-01-2012",7,"BOLA ANIKO",0.330129999667406,1.91475000977516,0.279882788658142,0,5.79998779296875
"Gamo Gofa",710,"KEMBA",71012,"01-01-2013",7,"BOLA ANIKO",0.465834010392427,4.00616991519928,0.157026320695877,0,8.59999465942383
"Gamo Gofa",710,"KEMBA",71012,"01-01-2014",7,"BOLA ANIKO",0.305387996137142,4.33651000261307,0.158156841993332,0,14.2000017166138
"Gamo Gofa",710,"KEMBA",71012,"01-01-2015",7,"BOLA ANIKO",0.227339001372457,2.40978996455669,0.32680007815361,0,10.5999851226807
"Gamo Gofa",710,"KEMBA",71012,"01-01-2010",7,"BOKO SHELE",15.7869081983808,424.668197356164,0.279920339584351,0,26.9000225067139
"Gamo Gofa",710,"KEMBA",71012,"01-01-2011",7,"BOKO SHELE",8.92947699991055,140.192769061774,0.284599959850311,0,15.6999979019165
"Gamo Gofa",710,"KEMBA",71012,"01-01-2012",7,"BOKO SHELE",9.32637902535498,114.714470528066,0.154510617256165,0,12.3000011444092
